waktu,kecepatan,jarak
0.000000,10.000000,0.000000
0.500000,10.250000,5.062500
1.000000,10.500000,10.250000
1.500000,10.750000,15.562500
2.000000,11.000000,21.000000
2.500000,11.250000,26.562500
3.000000,11.500000,32.250000
3.500000,11.750000,38.062500
4.000000,12.000000,44.000000
4.500000,12.250000,50.062500
5.000000,12.500000,56.250000
5.500000,12.750000,62.562500
6.000000,13.000000,69.000000
6.500000,13.250000,75.562500
7.000000,13.500000,82.250000
7.500000,13.750000,89.062500
8.000000,14.000000,96.000000
8.500000,14.250000,103.062500
9.000000,14.500000,110.250000
9.500000,14.750000,117.562500
10.000000,15.000000,125.000000
